genes5,genes4,genes3,genes2,genes1,Label.1,cell_id,Label.2,Label.3,Probability.1,Probability.2,Probability.3,Test.Accuracy,Test.Loss,True_cluster,x_centroid,y_centroid,transcript_counts,control_probe_counts,control_codeword_counts,total_counts,cell_area,nucleus_area,cell_type_1,cell_type_2,cell_type_3,cell_type_4,cell_type_5,majority_cell_type,status,Title
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,15230,13,2,0.14733373,0.14602336,0.09599153,0.164884865,2.900434017,17,4880.06665,2838.282813,207,0,0,207,315.8228125,58.5225,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Independent Sampling - Clean Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,16462,2,1,0.096880175,0.083331704,0.082406536,0.164884865,2.900434017,9,4320.930591,3149.390283,204,0,0,204,135.7396875,48.63328125,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Independent Sampling - Clean Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,14625,13,2,0.121984124,0.1174258,0.116224855,0.164884865,2.900434017,17,4923.053491,3183.160974,114,0,0,114,290.8514063,71.12109375,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Independent Sampling - Clean Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,24597,9,2,0.09775858,0.08663289,0.0849694,0.164884865,2.900434017,18,1472.371204,3205.109277,172,0,0,172,228.1745313,51.478125,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Independent Sampling - Clean Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,24667,13,2,0.12721802,0.11536406,0.08595285,0.164884865,2.900434017,4,1580.634039,3057.077917,70,0,0,70,143.5517188,28.67421875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Independent Sampling - Clean Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,476,13,2,0.090594344,0.087667115,0.08454581,0.164884865,2.900434017,22,1926.622534,3382.198145,273,0,0,273,171.3228125,61.05125,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Independent Sampling - Clean Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,35693,13,2,0.12558329,0.11757203,0.106246896,0.164884865,2.900434017,20,3834.860913,2804.077368,98,0,0,98,148.5640625,40.05359375,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Independent Sampling - Clean Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,16312,2,9,0.12446814,0.111981384,0.10972613,0.164884865,2.900434017,11,4335.446997,3152.544373,38,0,0,38,69.58578125,14.76609375,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Independent Sampling - Clean Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,30981,9,2,0.09991248,0.099816866,0.09941275,0.164884865,2.900434017,19,5002.35542,2686.285132,190,0,0,190,235.2640625,47.685,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Independent Sampling - Clean Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,2618,9,13,0.117119074,0.09591028,0.0904516,0.164884865,2.900434017,1,5388.322656,864.5416199,35,0,0,35,54.368125,23.2103125,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Independent Sampling - Clean Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,20474,1,13,0.099366486,0.08547514,0.0836732,0.164884865,2.900434017,19,2908.979944,3144.399646,101,0,0,101,144.0484375,46.1496875,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Independent Sampling - Clean Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,6101,13,2,0.12985535,0.12581699,0.11912124,0.164884865,2.900434017,17,2347.339954,2905.545288,94,0,0,94,96.3634375,26.4615625,,Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Independent Sampling - Clean Data
