genes5,genes4,genes3,genes2,genes1,Label.1,cell_id,Label.2,Label.3,Probability.1,Probability.2,Probability.3,Test.Accuracy,Test.Loss,True_cluster,x_centroid,y_centroid,transcript_counts,control_probe_counts,control_codeword_counts,total_counts,cell_area,nucleus_area,cell_type_1,cell_type_2,cell_type_3,cell_type_4,cell_type_5,majority_cell_type,status,Title
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,15230,13,2,0.14733373,0.14602336,0.09599153,0.164884865283966,2.9004340171814,17,4880.06665039063,2838.2828125,207,0,0,207,315.8228125,58.5225,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Whole Split - Clean Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,16462,2,1,0.096880175,0.083331704,0.082406536,0.164884865283966,2.9004340171814,9,4320.93059082031,3149.39028320313,204,0,0,204,135.7396875,48.63328125,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Whole Split - Clean Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,14625,13,2,0.121984124,0.1174258,0.116224855,0.164884865283966,2.9004340171814,17,4923.05349121094,3183.16097412109,114,0,0,114,290.85140625,71.12109375,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Whole Split - Clean Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,24597,9,2,0.09775858,0.08663289,0.0849694,0.164884865283966,2.9004340171814,18,1472.37120361328,3205.10927734375,172,0,0,172,228.17453125,51.478125,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Whole Split - Clean Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,24667,13,2,0.12721802,0.11536406,0.08595285,0.164884865283966,2.9004340171814,4,1580.63403930664,3057.07791748047,70,0,0,70,143.55171875,28.67421875,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Whole Split - Clean Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,476,13,2,0.090594344,0.087667115,0.08454581,0.164884865283966,2.9004340171814,22,1926.62253417969,3382.19814453125,273,0,0,273,171.3228125,61.05125,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Whole Split - Clean Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,35693,13,2,0.12558329,0.11757203,0.106246896,0.164884865283966,2.9004340171814,20,3834.86091308594,2804.07736816406,98,0,0,98,148.5640625,40.05359375,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Whole Split - Clean Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,16312,2,9,0.12446814,0.111981384,0.10972613,0.164884865283966,2.9004340171814,11,4335.44699707031,3152.54437255859,38,0,0,38,69.58578125,14.76609375,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Whole Split - Clean Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,30981,9,2,0.09991248,0.099816866,0.09941275,0.164884865283966,2.9004340171814,19,5002.35541992188,2686.28513183594,190,0,0,190,235.2640625,47.685,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Whole Split - Clean Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,2618,9,13,0.117119074,0.09591028,0.0904516,0.164884865283966,2.9004340171814,1,5388.32265625,864.541619873047,35,0,0,35,54.368125,23.2103125,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Whole Split - Clean Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,20474,1,13,0.099366486,0.08547514,0.0836732,0.164884865283966,2.9004340171814,19,2908.97994384766,3144.39964599609,101,0,0,101,144.0484375,46.1496875,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Whole Split - Clean Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,6101,13,2,0.12985535,0.12581699,0.11912124,0.164884865283966,2.9004340171814,17,2347.33995361328,2905.54528808594,94,0,0,94,96.3634375,26.4615625,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Whole Split - Clean Data
Cd24a,Igf2,Trp73,Slc13a4,Spag16,17,5757,13,9,0.14588185,0.1437873,0.11316855,0.164884865283966,2.9004340171814,28,2297.50102539062,3172.4689453125,157,1,0,158,216.930625,47.36890625,"",Endothelial,Neurons,Endothelial,Neurons,No majority cell types,0,Transformer Model : Whole Split - Clean Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,31135,28,5,0.34718874,0.28451142,0.07941466,0.164884865283966,2.9004340171814,14,2116.35224609375,781.738940429688,2,0,0,2,790.36984375,10.5665625,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,1,Transformer Model : Whole Split - Clean Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,880,11,2,0.24035561,0.10482528,0.10131096,0.164884865283966,2.9004340171814,1,2252.91441650391,3530.86015625,90,0,0,91,151.4540625,39.69234375,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Whole Split - Clean Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,31124,3,1,0.2782347,0.11184801,0.09914977,0.164884865283966,2.9004340171814,14,2042.32608642578,685.865383911133,2,0,0,2,225.05875,9.1215625,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,1,Transformer Model : Whole Split - Clean Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,23312,1,3,0.16429552,0.12534884,0.118540496,0.164884865283966,2.9004340171814,3,979.34775390625,1733.97509765625,52,0,0,52,90.80921875,12.05671875,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Whole Split - Clean Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,31131,28,5,0.28347236,0.18076736,0.1262432,0.164884865283966,2.9004340171814,14,2086.35343017578,762.195373535156,0,0,0,0,549.14515625,5.10265625,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,1,Transformer Model : Whole Split - Clean Data
Cyp1b1,Dcn,Col1a1,Fmod,Aldh1a2,9,471,2,1,0.24305755,0.14706136,0.09967977,0.164884865283966,2.9004340171814,9,812.651309204102,1692.11166381836,151,0,0,151,352.94125,48.76875,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,Endothelial,0,Transformer Model : Whole Split - Clean Data
