genes5,genes4,genes3,genes2,genes1,Label.1,cell_id,Label.2,Label.3,Probability.1,Probability.2,Probability.3,Test.Accuracy,Test.Loss,True_cluster,x_centroid,y_centroid,transcript_counts,control_probe_counts,control_codeword_counts,total_counts,cell_area,nucleus_area,cell_type_1,cell_type_2,cell_type_3,cell_type_4,cell_type_5,majority_cell_type,status,Title
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,11672,2,5,0.18367401,0.14366224,0.0870084,0.182154611,2.943393946,6,4587.360767,2150.243713,86,0,0,86,459.1939063,4.4253125,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,1,CNN Model : Stratified Sampling - Clean Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,26974,7,2,0.18895997,0.12635393,0.11074656,0.182154611,2.943393946,2,4987.195703,2307.752905,143,0,0,143,392.7690625,16.66265625,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,CNN Model : Stratified Sampling - Clean Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,14620,2,17,0.1000028,0.09776358,0.09593205,0.182154611,2.943393946,17,4890.088184,3232.591089,154,0,0,154,691.1615625,77.2171875,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,CNN Model : Stratified Sampling - Clean Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,11498,7,6,0.17267026,0.12470524,0.071469255,0.182154611,2.943393946,12,4747.527246,2452.315369,368,0,0,368,493.7384375,31.5190625,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,CNN Model : Stratified Sampling - Clean Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,20842,5,7,0.19801427,0.13169114,0.07390682,0.182154611,2.943393946,2,2893.973792,3045.28313,183,0,0,183,761.4698438,28.85484375,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,CNN Model : Stratified Sampling - Clean Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,22041,4,2,0.1087404,0.10281031,0.10096594,0.182154611,2.943393946,1,1535.989636,2138.318396,175,0,0,175,346.4839063,12.2825,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,CNN Model : Stratified Sampling - Clean Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,19459,4,17,0.11672587,0.09115683,0.07203458,0.182154611,2.943393946,20,4470.541382,3500.270532,159,1,0,160,206.3640625,44.614375,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,CNN Model : Stratified Sampling - Clean Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,10622,2,15,0.52786326,0.07614455,0.06785548,0.182154611,2.943393946,19,639.4769348,2645.926526,94,0,0,94,745.078125,5.82515625,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,CNN Model : Stratified Sampling - Clean Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,16805,11,2,0.15458278,0.1339635,0.077099845,0.182154611,2.943393946,15,4470.119702,2658.851257,224,0,0,224,443.2989063,55.94859375,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,CNN Model : Stratified Sampling - Clean Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,25110,7,5,0.1401476,0.09888002,0.09793963,0.182154611,2.943393946,2,1636.871625,3240.000366,225,0,0,226,514.5554688,18.55921875,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,CNN Model : Stratified Sampling - Clean Data
