genes5,genes4,genes3,genes2,genes1,Label.1,cell_id,Label.2,Label.3,Probability.1,Probability.2,Probability.3,Test.Accuracy,Test.Loss,True_cluster,x_centroid,y_centroid,transcript_counts,control_probe_counts,control_codeword_counts,total_counts,cell_area,nucleus_area,cell_type_1,cell_type_2,cell_type_3,cell_type_4,cell_type_5,majority_cell_type,status,Title
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,11920,1,4,0.10202329,0.093983024,0.08904017,0.176946267,2.924649,14,4907.027588,2345.556116,86,1,0,88,454.4073438,28.40328125,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,CNN Model : Independent Sampling - Raw Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,35796,7,1,0.12884098,0.12512133,0.12057109,0.176946267,2.924649,20,3681.699048,3370.345251,624,0,0,624,777.8164063,20.63640625,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,CNN Model : Independent Sampling - Raw Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,31992,9,12,0.2550729,0.09851828,0.082124025,0.176946267,2.924649,12,3341.393787,2414.303186,261,2,0,263,800.16875,9.6634375,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,CNN Model : Independent Sampling - Raw Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,27605,9,28,0.22451057,0.14141245,0.097097635,0.176946267,2.924649,5,1076.544922,3476.273389,335,0,0,335,846.5442188,8.08296875,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,CNN Model : Independent Sampling - Raw Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,35567,1,11,0.20411108,0.12860322,0.1208802,0.176946267,2.924649,7,3802.169531,2639.773779,261,1,0,262,881.08875,15.6240625,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,CNN Model : Independent Sampling - Raw Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,5533,11,7,0.1114728,0.09530351,0.09489458,0.176946267,2.924649,11,3397.914014,3485.649951,322,0,0,322,444.4278125,48.588125,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,CNN Model : Independent Sampling - Raw Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,8509,2,7,0.16184388,0.15595178,0.12378153,0.176946267,2.924649,1,2064.266089,3424.220435,284,0,0,284,564.2273438,43.48546875,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,CNN Model : Independent Sampling - Raw Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,17317,1,11,0.14170453,0.13047671,0.12473184,0.176946267,2.924649,14,4670.511353,2599.183997,381,0,0,381,869.348125,44.1628125,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,CNN Model : Independent Sampling - Raw Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,29251,1,7,0.15533859,0.13237959,0.0996503,0.176946267,2.924649,18,5413.232471,3058.05907,297,1,0,298,829.7460938,41.40828125,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,CNN Model : Independent Sampling - Raw Data
Aqp4,Hapln1,Orai2,Gfap,Cabp7,14,34771,1,7,0.18776558,0.093751475,0.08408961,0.176946267,2.924649,24,3776.653345,3019.014685,141,0,0,141,541.1976563,7.45078125,Neurons,Astrocytes,Neurons,Neurons,Astrocytes,Neurons,0,CNN Model : Independent Sampling - Raw Data
